Wm,W0m,dm,tm,rows,Xa,Ya,gain,vswr,bandwidth,s,pr,p0
2142.9,162.86,77.143,214.29,3.0,5954.3,6964.3,2.8156757000000003,1.6342981,120.95999999999974,-12.36743,0.19746308,0.46457523
2142.9,162.86,488.57,214.29,3.0,5954.3,6964.3,2.8323582999999997,1.2367473999999998,124.52980000000036,-19.506634,0.20966149999999997,0.49112293
2142.9,162.86,488.57,214.29,3.0,5954.3,11786.0,2.9182318,1.4470708,123.48010000000099,-14.765405,0.21137074,0.48764982
2142.9,162.86,488.57,214.29,3.0,5954.3,16607.0,2.9061252,1.7887143,111.9298999999998,-10.969686,0.21264346,0.49247752
2142.9,162.86,488.57,214.29,3.0,8365.0,2142.9,2.8560798,1.239834,122.43010000000076,-19.4061,0.21292913,0.49669338
2142.9,162.86,488.57,214.29,3.0,8365.0,6964.3,2.8311565,1.2293302,124.53010000000076,-19.754262,0.20975320000000003,0.49151461
2142.9,162.86,488.57,214.29,3.0,8365.0,11786.0,2.9164103,1.4551579,123.48010000000053,-14.638347,0.21107066,0.48722040000000005
2142.9,162.86,488.57,214.29,3.0,8365.0,16607.0,2.9493362000000003,1.7447137,114.24000000000012,-11.330153999999999,0.21467303,0.49217831
2142.9,325.71,77.143,214.29,3.0,1132.8,11786.0,2.9770293,1.4376431,123.6904000000001,-14.917001,0.21399317,0.48813958
2142.9,325.71,77.143,214.29,3.0,1132.8,16607.0,2.2336051,2.1029171000000004,88.20010000000033,-8.9845461,0.17988861,0.48582793
2142.9,325.71,77.143,214.29,3.0,3543.5,2142.9,2.9355337,1.2228249,122.64009999999992,-19.978829,0.21659657,0.49719471
2142.9,162.86,77.143,214.29,3.0,5954.3,11786.0,2.9578115,1.4436569,123.48010000000009,-14.819859,0.2130864,0.48782129
2142.9,325.71,77.143,214.29,3.0,3543.5,6964.3,2.8434048,1.6381369,120.74970000000019,-12.327669,0.19831001,0.46428945
2142.9,325.71,77.143,214.29,3.0,3543.5,11786.0,2.9786302000000004,1.4395398000000001,123.48009999999965,-14.886194,0.21403986,0.48803446
2142.9,325.71,77.143,214.29,3.0,3543.5,16607.0,2.4835141,1.9312411,104.36990000000002,-9.959788,0.19267408,0.49038091
2142.9,325.71,77.143,214.29,3.0,5954.3,2142.9,2.9313592,1.2299069,122.42980000000037,-19.734696,0.21632477,0.49698184
2142.9,325.71,77.143,214.29,3.0,5954.3,6964.3,2.8423458999999998,1.6347466,120.95999999999974,-12.362769,0.19840749,0.46454453
2142.9,325.71,77.143,214.29,3.0,5954.3,11786.0,2.9771967,1.4422771,123.48010000000009,-14.84201,0.21393739999999997,0.48788951
2142.9,325.71,77.143,214.29,3.0,5954.3,16607.0,2.483113,1.8239012,108.98989999999964,-10.699488,0.19386563,0.4902835
2142.9,325.71,77.143,214.29,3.0,8365.0,2142.9,2.9211264,1.238097,122.43009999999987,-19.462501,0.21571345,0.49673427
2142.9,325.71,77.143,214.29,3.0,8365.0,6964.3,2.8339478,1.6246454,121.58989999999959,-12.468741,0.19838349,0.46529807
2142.9,325.71,77.143,214.29,3.0,8365.0,11786.0,2.9704083,1.4505651000000002,123.69019999999998,-14.710173999999999,0.21340491,0.48745504
2142.9,162.86,77.143,214.29,3.0,5954.3,16607.0,2.4472806,1.8277676999999999,109.20020000000008,-10.670705,0.19262904,0.49029038
2142.9,325.71,77.143,214.29,3.0,8365.0,16607.0,2.7414558999999996,1.8143803,110.66989999999998,-10.77111,0.20718737,0.49176353
2142.9,325.71,77.143,214.29,5.0,0.0,2142.9,1.2229716,7.960146400000001,,-2.1939347000000002,0.057337430999999994,0.19427466
2142.9,325.71,77.143,214.29,5.0,0.0,6964.3,1.2656610000000001,8.1966315,,-2.1299904,0.056021747000000004,0.18947809
2142.9,325.71,77.143,214.29,5.0,1132.8,2142.9,2.8765398999999996,1.1871998,121.37989999999999,-21.351662,0.21242377,0.49369369
2142.9,325.71,77.143,214.29,5.0,1132.8,6964.3,2.8825127999999998,1.6784415000000001,118.2300999999999,-11.927396,0.19725499,0.46122232
2142.9,325.71,77.143,214.29,5.0,3543.5,2142.9,2.8902447,1.0713911,122.21990000000017,-29.252366,0.21509970000000003,0.49818744
2142.9,325.71,77.143,214.29,5.0,3543.5,6964.3,2.8962311,1.5974653,121.59019999999998,-12.764741,0.20058196,0.46731529
2142.9,325.71,77.143,214.29,5.0,5954.3,2142.9,2.8853077999999996,1.0648289,122.21979999999988,-30.062305,0.21500183,0.49838047
2142.9,325.71,77.143,214.29,5.0,5954.3,6964.3,2.8945051,1.5941877,121.37989999999999,-12.801555,0.20066288,0.46755899
2142.9,325.71,77.143,214.29,5.0,8365.0,2142.9,2.8774905,1.0572001,122.00999999999995,-31.1176,0.21472682,0.49858348
